Nome,Estrelas,Forks,Issues Abertas,Criado em,Última Atualização,Último Push,Número de Releases,Total de Pull Requests Aceitas,Razão de Issues Fechadas,Linguagem Primária
PowerShell,44532,7198,992,2016-01-13T23:41:35Z,2024-09-05T15:45:34Z,2024-09-05T05:01:18Z,30,18,0.3333333333333333,C#
100-Days-Of-ML-Code,44481,10447,59,2018-07-05T09:11:43Z,2024-09-05T17:36:52Z,2023-12-29T07:57:53Z,0,14,0.4666666666666667,
hiring-without-whiteboards,44435,3496,14,2017-03-15T05:09:01Z,2024-09-05T16:49:27Z,2024-08-27T15:21:53Z,0,26,0.8666666666666667,JavaScript
first-contributions,44358,77399,1041,2016-09-20T14:35:09Z,2024-09-05T17:58:44Z,2024-09-05T17:58:33Z,0,23,0.7666666666666667,
architecture-samples,44293,11619,207,2016-02-05T13:42:07Z,2024-09-05T10:50:24Z,2024-09-05T03:24:16Z,0,20,0.4666666666666667,Kotlin
meteor,44288,5171,311,2012-01-19T01:58:17Z,2024-09-05T17:09:26Z,2024-09-05T16:57:14Z,0,21,0.5,JavaScript
fuels-ts,44269,1335,145,2021-09-03T18:11:03Z,2024-09-05T17:20:37Z,2024-09-05T16:56:19Z,30,17,0.43333333333333335,TypeScript
fuels-rs,44269,1338,90,2021-10-31T22:33:54Z,2024-09-05T15:12:40Z,2024-09-04T22:25:22Z,30,25,0.8333333333333334,Rust
x64dbg,44263,2397,594,2015-04-11T20:48:23Z,2024-09-05T16:20:28Z,2024-08-30T12:56:11Z,2,28,0.5,C++
dify,44228,6183,272,2023-04-12T07:40:24Z,2024-09-05T17:11:27Z,2024-09-05T13:00:09Z,30,19,0.5666666666666667,TypeScript
starship,44066,1917,746,2019-04-02T03:23:12Z,2024-09-05T17:22:04Z,2024-09-05T17:19:41Z,30,17,0.4,Rust
jest,44030,6426,350,2013-12-10T00:18:04Z,2024-09-05T08:17:02Z,2024-09-05T16:47:35Z,30,14,0.2,TypeScript
gitea,43967,5392,2732,2016-11-01T02:13:26Z,2024-09-05T17:59:09Z,2024-09-05T16:19:01Z,30,22,0.3333333333333333,Go
AdminLTE,43896,18177,125,2013-12-25T02:52:40Z,2024-09-05T17:50:59Z,2024-09-02T09:55:22Z,30,28,0.8666666666666667,Astro
immich,43540,2122,463,2022-02-03T15:56:27Z,2024-09-05T17:38:17Z,2024-09-05T17:53:31Z,30,24,0.7,TypeScript
appwrite,43502,3896,745,2019-04-08T16:36:25Z,2024-09-05T17:17:00Z,2024-09-05T17:11:41Z,30,26,0.5,TypeScript
pixijs,43479,4753,377,2013-01-21T22:40:50Z,2024-09-05T16:07:40Z,2024-09-05T17:46:24Z,30,21,0.26666666666666666,TypeScript
MetaGPT,43477,5171,350,2023-06-30T09:04:55Z,2024-09-05T17:06:04Z,2024-08-21T06:12:26Z,21,12,0.2,Python
parcel,43370,2261,694,2017-08-07T16:36:47Z,2024-09-05T17:54:32Z,2024-09-03T22:41:19Z,30,20,0.2,JavaScript
TensorFlow-Examples,43348,14954,220,2015-11-11T14:21:19Z,2024-09-05T12:12:48Z,2024-07-26T19:46:13Z,0,18,0.3333333333333333,Jupyter Notebook
